FILE_NM	APPSTM_CODE	CHK_JOB_ID	LD_JOB_ID	LIST_NM	FILE_SORT	CHK_RCRD_NBR_F	LD_ERR_ALOW	LAST_MOD_TM	LAST_MOD_TLR	LD_FSHN_CODE	DISBL_F	ALLQUTY_F	ALLQUTY_LIST_NM	LD_ST_CODE	SOURCE_CODE_SET	TARGET_CODE_SET
6375040D.BGL	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTBGL_I	1	1	50000		ZXR	A	0			3		
6375040D.CAD	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTCAD_I	1	1	50000		ZXR	A	0			3		
6300006D.CCY	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTCCY_F	1	1	50000		ZXR	A	0			3		
6375040D.CYF	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTCYF_I	1	1	50000		ZXR	A	0			3		
6375040D.FIX	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTFIX_I	1	1	50000		ZXR	A	0			3		
6375040D.OBM	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTOBM_I	1	1	50000		ZXR	A	0			3		
6375040D.OBP	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTOBP_I	1	1	50000		ZXR	A	0			3		
6375040D.ORG	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTORG_F	1	1	50000		ZXR	A	0			3		
6375040D.PAC	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTPAC_I	1	1	50000		ZXR	A	0			3		
6375040D.PTX	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTPTX_I	1	1	50000		ZXR	A	0			3		
6375040D.SAV	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTSAV_I	1	1	50000		ZXR	A	0			3		
6300006D.STC	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTSTC_F	1	1	50000		ZXR	A	0			3		
6375040D.TAD	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTTAD_I	1	1	50000		ZXR	A	0			3		
6300006D.TAX	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTTAX_F	1	1	50000		ZXR	A	0			3		
6375040D.TXN	aas	C_AAS_G0001	L_AAS_G0001	AAS_ASTTXN_I	1	1	50000		ZXR	A	0			3		
9075040D.cad	amlmas	C_AMLMAS_G_D_001	L_AMLMAS_G_D_001	AMLMAS_CAD_CASEDTLS_I	1	1				R				3	UTF8	UTF8
9075040D.car	amlmas	C_AMLMAS_G_D_001	L_AMLMAS_G_D_001	AMLMAS_CAR_CASEREPORT_I	1	1				R				3	GBK	GBK
9075040D.mss	amlmas	C_AMLMAS_G_D_001	L_AMLMAS_G_D_001	AMLMAS_MSS_MAXSTEPSTATUS_I	1	1				R				3	UTF8	UTF8
9075040D.rei	amlmas	C_AMLMAS_G_D_001	L_AMLMAS_G_D_001	AMLMAS_REI_REPORTINGINFO_I	1	1				R				3	GBK	GBK
9075040D.trs	amlmas	C_AMLMAS_G_D_001	L_AMLMAS_G_D_001	AMLMAS_TRS_TXNREGISTRY_I	1	1				R				3	GBK	GBK
TM75040D.atm	atmm	C_ATMM_G_D_001	L_ATMM_G_D_001	ATMM_AMMATMPF_I	1	1				R				3	GB18030	UTF8
TM00006D.bin	atmm	C_ATMM_G_D_003	L_ATMM_G_D_003	ATMM_AMMBINPF_I	1	1				R				0	GB18030	UTF8
TM75040D.org	atmm	C_ATMM_G_D_001	L_ATMM_G_D_001	ATMM_AMMIBKPF_I	1	1				R				3	GB18030	UTF8
TM00006D.sct	atmm	C_ATMM_G_D_001	L_ATMM_G_D_001	ATMM_AMMSCTPF_I	1	1				R				3	GB18030	UTF8
TM00006D.stt	atmm	C_ATMM_G_D_003	L_ATMM_G_D_003	ATMM_AMMSTTPF_I	1	1				R				0	GB18030	UTF8
TM00006D.trn	atmm	C_ATMM_G_D_002	L_ATMM_G_D_002	ATMM_AMMTRNPF_I	1	1				R				3	GB18030	UTF8
TM00006D.tst	atmm	C_ATMM_G_D_003	L_ATMM_G_D_003	ATMM_AMMTSTPF_I	1	1				R				0	GB18030	UTF8
TM00006D.zzm	atmm	C_ATMM_G_D_002	L_ATMM_G_D_002	ATMM_ZZTRND_I	1	1				R				3	GB18030	UTF8
0175040D.cm1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ABDC_F	1	1				R	0			3	GBK	GBK
0199980D.cm1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ABDC_F	2	1				A	0			3	GBK	GBK
0100006D.fj1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACCM_F	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0175040D.l01	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACFR_I1	1	1				R	0			3	GBK	GBK
0199980D.l01	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACFR_I1	2	1				A	0			3	GBK	GBK
0175040D.l02	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACFR_I2	1	1				R	0			3	GBK	GBK
0199980D.l02	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACFR_I2	2	1				A	0			3	GBK	GBK
0175040D.l03	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACFR_I3	1	1				R	0			3	GBK	GBK
0199980D.l03	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACFR_I3	2	1				A	0			3	GBK	GBK
0175040D.l04	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACFR_I4	1	1				R	0			3	GBK	GBK
0199980D.l04	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACFR_I4	2	1				A	0			3	GBK	GBK
0100006D.kc1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACIN_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.dt1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACLN_I	1	1				R	0			3	GBK	GBK
0175040D.dn1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACNG_I	1	1				R	0			3	GBK	GBK
0199980D.dn1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACNG_I	2	1				A	0			3	GBK	GBK
0175040D.ci1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACNM_I	1	1				R	0			3	GBK	GBK
0199980D.ci1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACNM_I	2	1				A	0			3	GBK	GBK
0175040D.d41	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACSN_I1	1	1				R	0			3	GBK	GBK
0199980D.d41	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACSN_I1	2	1				A	0			3	GBK	GBK
0175040D.d42	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACSN_I2	1	1				R	0			3	GBK	GBK
0199980D.d42	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACSN_I2	2	1				A	0			3	GBK	GBK
0175040D.d43	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACSN_I3	1	1				R	0			3	GBK	GBK
0199980D.d43	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACSN_I3	2	1				A	0			3	GBK	GBK
0175040D.d44	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACSN_I4	1	1				R	0			3	GBK	GBK
0199980D.d44	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ACSN_I4	2	1				A	0			3	GBK	GBK
0100006D.gl1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ADAC_F	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.f91	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ADAP_F	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.gm1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ADCU_F	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.f81	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ADRL_F	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.kt1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ATBA_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.ks1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ATBS_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.km1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ATCM_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.kn1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ATGA_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.kl1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ATGM_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.kx1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ATGP_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.kr1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ATSA_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.kq1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_ATSS_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.k15	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BASM_F	1	1				R	0			3	GBK	GBK
0100006D.ko1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BCPL_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0175040D.le1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BGDF_I	1	1				R	0			3	GBK	GBK
0199980D.le1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BGDF_I	2	1				A	0			3	GBK	GBK
0100006D.es1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BINP_F	1	1				R	0			3	GBK	GBK
0175040D.ld1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNI_I1	1	1				R	0			3	GBK	GBK
0199980D.ld1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNI_I1	2	1				A	0			3	GBK	GBK
0175040D.ld2	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNI_I2	1	1				R	0			3	GBK	GBK
0199980D.ld2	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNI_I2	2	1				A	0			3	GBK	GBK
0175040D.ld3	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNI_I3	1	1				R	0			3	GBK	GBK
0199980D.ld3	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNI_I3	2	1				A	0			3	GBK	GBK
0175040D.ld4	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNI_I4	1	1				R	0			3	GBK	GBK
0199980D.ld4	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNI_I4	2	1				A	0			3	GBK	GBK
0175040D.la1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNN_I1	1	1				R	0			3	GBK	GBK
0199980D.la1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNN_I1	2	1				A	0			3	GBK	GBK
0175040D.la2	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNN_I2	1	1				R	0			3	GBK	GBK
0199980D.la2	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNN_I2	2	1				A	0			3	GBK	GBK
0175040D.la3	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNN_I3	1	1				R	0			3	GBK	GBK
0199980D.la3	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNN_I3	2	1				A	0			3	GBK	GBK
0175040D.la4	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNN_I4	1	1				R	0			3	GBK	GBK
0199980D.la4	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BLDVNN_I4	2	1				A	0			3	GBK	GBK
0100006D.kw1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BOAS_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0100006D.aa1	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BOAT_I	1	1			zxr: no ftp from hq	R	1			4	GBK	GBK
0175040D.x01	bancs	C_BANCS_G_D_001	L_BANCS_G_D_001	BANCS_BOCT01_I1	1	1				R				3	GBK	GBK
0199980D.x01	bancs	C_BANCS_G_D_001	L_BANCS_G_D_001	BANCS_BOCT01_I1	2	1				A				3	GBK	GBK
0175040D.x02	bancs	C_BANCS_G_D_001	L_BANCS_G_D_001	BANCS_BOCT01_I2	1	1				R				3	GBK	GBK
0199980D.x02	bancs	C_BANCS_G_D_001	L_BANCS_G_D_001	BANCS_BOCT01_I2	2	1				A				3	GBK	GBK
0175040D.x03	bancs	C_BANCS_G_D_001	L_BANCS_G_D_001	BANCS_BOCT01_I3	1	1				R				3	GBK	GBK
0199980D.x03	bancs	C_BANCS_G_D_001	L_BANCS_G_D_001	BANCS_BOCT01_I3	2	1				A				3	GBK	GBK
0175040D.x04	bancs	C_BANCS_G_D_001	L_BANCS_G_D_001	BANCS_BOCT01_I4	1	1				R				3	GBK	GBK
0199980D.x04	bancs	C_BANCS_G_D_001	L_BANCS_G_D_001	BANCS_BOCT01_I4	2	1				A				3	GBK	GBK
0175040D.x11	bancs	C_BANCS_G_D_002	L_BANCS_G_D_002	BANCS_BOCT02_I1	1	1				R	0			3	GBK	GBK
