JOB_ID	APPSTM_CODE	SBJCTN_PROC_PHASE	DLWTH_FREQY_ATTR	DLWTH_DAY	SRCPRG_PATH	PARA	JOB_DESC	DVP_ER	DATA_DT_DELAY	JOB_PRIOR_GRD	PROC_AFFECT_LVL	SUPSTR_JOB_DT_REQ	RERUN_AUTO_RESET	DISBL_F	LAST_MOD_TM	LAST_MOD_TLR
BASE_AC	BASE_AC	BASE_AC	0	0	sleep	10	ETL_测试文件_BASE_AC	VS	0	9999	1	P	1	0		VS 
CID.FN_CST_BANCS_INF	CID	CID	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CID.FN_CST_BANCS_INF <GP_DBNAME> <GP_DBUSER> CID.FN_CST_BANCS_INF <MASK_CODE>	CID.FN_CST_BANCS_INF全量加工	lsj	0	9999	1	P	1	0		VS 
CID.FN_CST_BSC_INF	CID	CID	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CID.FN_CST_BSC_INF <GP_DBNAME> <GP_DBUSER> CID.FN_CST_BSC_INF <MASK_CODE>	CID.FN_CST_BSC_INF全量加工	lsj	0	9999	1	P	1	0		VS 
CID.FN_CST_BSC_INF_BANCS	CID	CID	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CID.FN_CST_BSC_INF_BANCS <GP_DBNAME> <GP_DBUSER> CID.FN_CST_BSC_INF_BANCS <MASK_CODE>	CID.FN_CST_BSC_INF_BANCS全量加工	lsj	0	9999	1	P	1	0		VS 
CID.FN_CST_BSC_INF_LNMS	CID	CID	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CID.FN_CST_BSC_INF_LNMS <GP_DBNAME> <GP_DBUSER> CID.FN_CST_BSC_INF_LNMS <MASK_CODE>	CID.FN_CST_BSC_INF_LNMS全量加工	lsj	0	9999	1	P	1	0		VS 
CID.FN_CST_CUID_INF	CID	CID	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CID.FN_CST_CUID_INF <GP_DBNAME> <GP_DBUSER> CID.FN_CST_CUID_INF <MASK_CODE>	CID.FN_CST_CUID_INF全量加工	lsj	0	9999	1	P	1	0		VS 
CID.FN_CST_RELM_INF	CID	CID	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CID.FN_CST_RELM_INF <GP_DBNAME> <GP_DBUSER> CID.FN_CST_RELM_INF <MASK_CODE>	CID.FN_CST_RELM_INF全量加工	lsj	0	9999	1	P	1	0		VS 
CID.FN_EXGRATE_BRIEF_LIST	POC	POC	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CID.FN_EXGRATE_BRIEF_LIST <GP_DBNAME> <GP_DBUSER> CID.FN_EXGRATE_BRIEF_LIST <MASK_CODE>	CID.FN_EXGRATE_BRIEF_LIST全量加工	lsj	0	9999	1	P	1	0		VS 
CID.FN_LDM_FCT_CUS_ID_TB	FROM_CIDS	FROM_CIDS	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CID.FN_LDM_FCT_CUS_ID_TB <GP_DBNAME> <GP_DBUSER> CID.FN_LDM_FCT_CUS_ID_TB <MASK_CODE>	CID.FN_LDM_FCT_CUS_ID_TB全量加工	lsj	1	9999	1	P	1	0		VS 
CID.FN_LDM_FCT_CUS_PI_TB	FROM_CIDS	FROM_CIDS	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CID.FN_LDM_FCT_CUS_PI_TB <GP_DBNAME> <GP_DBUSER> CID.FN_LDM_FCT_CUS_PI_TB <MASK_CODE>	CID.FN_LDM_FCT_CUS_PI_TB全量加工	lsj	1	9999	1	P	1	0		VS 
CID.FN_PD_BRIEF_LIST	POC	POC	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CID.FN_PD_BRIEF_LIST <GP_DBNAME> <GP_DBUSER> CID.FN_PD_BRIEF_LIST <MASK_CODE>	CID.FN_PD_BRIEF_LIST全量加工	lsj	0	9999	1	P	1	0		VS 
CIDH.FN_DEP_HIST_INF_BANCS	CID	CID	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CIDH.FN_DEP_HIST_INF_BANCS <GP_DBNAME> <GP_DBUSER> CIDH.FN_DEP_HIST_INF_BANCS <MASK_CODE>	CIDH.FN_DEP_HIST_INF_BANCS全量加工	lsj	0	9999	1	P	1	0		VS 
CIDH.FN_DEP_HIST_INF_OTH	CID	CID	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CIDH.FN_DEP_HIST_INF_OTH <GP_DBNAME> <GP_DBUSER> CIDH.FN_DEP_HIST_INF_OTH <MASK_CODE>	CIDH.FN_DEP_HIST_INF_OTH全量加工	lsj	0	9999	1	P	1	0		VS 
CIDH.FN_DEP_OTHR_HIST_INF	CID	CID	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CIDH.FN_DEP_OTHR_HIST_INF <GP_DBNAME> <GP_DBUSER> CIDH.FN_DEP_OTHR_HIST_INF <MASK_CODE>	CIDH.FN_DEP_OTHR_HIST_INF全量加工	lsj	0	9999	1	P	1	0		VS 
CIDH.FN_LDM_ACNO_H	FROM_CIDS	FROM_CIDS	0	0	/rids/dwsys/rids/run/call_gp_fun.sh	<AC_DATE> CIDH.FN_LDM_ACNO_H <GP_DBNAME> <GP_DBUSER> CIDH.FN_LDM_ACNO_H <MASK_CODE>	CIDH.FN_LDM_ACNO_H全量加工	lsj	1	9999	1	P	1	0		VS 
C_AAS_G0001	DATAFILE	DATAFILE_AAS	0	0	/rids/dwsys/rids/run/gp_group_file_chk.sh	<AC_DATE> C_AAS_G0001 <MASK_CODE>	检查 数据文件是否到齐	VS	0	9999	1	P	1	0		
C_AMLMAS_G_D_001	DATAFILE	DATAFILE_AMLMAS	0	0	/rids/dwsys/rids/run/gp_group_file_chk.sh	<AC_DATE> C_AMLMAS_G_D_001 <MASK_CODE>	检查 测试 文件是否到齐	VS	3	9999	1	P	1	0		VS 
C_ATMM_G_D_001	DATAFILE	DATAFILE_ATMM	0	0	/rids/dwsys/rids/run/gp_group_file_chk.sh	<AC_DATE> C_ATMM_G_D_001 <MASK_CODE>	检查ATMM文件是否到齐	lsj	0	9999	1	P	1	0		VS 
C_ATMM_G_D_002	DATAFILE	DATAFILE_ATMM	0	0	/rids/dwsys/rids/run/gp_group_file_chk.sh	<AC_DATE> C_ATMM_G_D_002 <MASK_CODE>	检查ATMM文件是否到齐	lsj	0	9999	1	P	1	0		VS 
C_ATMM_G_D_003	DATAFILE	DATAFILE_ATMM	1	0	/rids/dwsys/rids/run/gp_group_file_chk.sh	<AC_DATE> C_ATMM_G_D_003 <MASK_CODE>	检查ATMM文件是否到齐	lsj	0	9999	1	P	1	0		VS 
C_BANCS_G_D_001	POC	DATAFILE_POC	0	0	/rids/dwsys/rids/run/gp_group_file_chk.sh	<AC_DATE> C_BANCS_G_D_001 <MASK_CODE>	检查 测试 文件是否到齐	VS	0	9999	1	P	1	0		VS 
C_BANCS_G_D_002	POC	DATAFILE_POC	0	0	/rids/dwsys/rids/run/gp_group_file_chk.sh	<AC_DATE> C_BANCS_G_D_002 <MASK_CODE>	检查 测试 文件是否到齐	VS	0	9999	1	P	1	0		VS 
C_BANCS_G_D_15	POC	DATAFILE_POC	0	0	/rids/dwsys/rids/run/gp_group_file_chk.sh	<AC_DATE> C_BANCS_G_D_15 <MASK_CODE>	检查POC文件是否到齐	lsj	0	9999	1	P	1	0		VS 
