JOB_ID	SUPSTR_JOB_ID	SUPSTR_JOB_DT_REQ	SUPSTR_JOB_ST_CHK
CID.FN_CST_BANCS_INF	CID.FN_CST_CUID_INF	P	1
CID.FN_CST_BANCS_INF	CID.FN_CST_RELM_INF	P	1
CID.FN_CST_BANCS_INF	ODS.FN_BANCS_CADD_F	P	1
CID.FN_CST_BANCS_INF	ODS.FN_BANCS_CUMI_F	P	1
CID.FN_CST_BANCS_INF	ODS.FN_BANCS_CUSE_F	P	1
CID.FN_CST_BANCS_INF	ODS.FN_BANCS_CUSM_F	P	1
CID.FN_CST_BANCS_INF	ODS.FN_BANCS_CUSVAA_F	P	1
CID.FN_CST_BANCS_INF	ODS.FN_BANCS_CUSVD4_F	P	1
CID.FN_CST_BANCS_INF	ODS.FN_BANCS_CUSVDD_F	P	1
CID.FN_CST_BSC_INF	CID.FN_CST_BSC_INF_BANCS	P	1
CID.FN_CST_BSC_INF	CID.FN_CST_BSC_INF_LNMS	P	1
CID.FN_CST_BSC_INF_BANCS	CID.FN_EXGRATE_BRIEF_LIST	P	1
CID.FN_CST_BSC_INF_BANCS	CID.FN_LDM_FCT_CUS_ID_TB	P	1
CID.FN_CST_BSC_INF_BANCS	CID.FN_LDM_FCT_CUS_PI_TB	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_BANCS_CADD_F	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_BANCS_CUID_F	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_BANCS_CUMI_F	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_BANCS_CUSM_F	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_BANCS_CUSVAA_F	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_BANCS_CUSVD4_F	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_BANCS_CUSVDD_F	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_CCMS_P302_F	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_CCMS_P313_F	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_CCMS_P346_F	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_CCMS_P353_F	P	1
CID.FN_CST_BSC_INF_BANCS	ODS.FN_ECIF_ORG_SIZE_F	P	1
CID.FN_CST_BSC_INF_LNMS	CID.FN_CST_BSC_INF_BANCS	P	1
CID.FN_CST_CUID_INF	ODS.FN_BANCS_CUID_F	P	1
CID.FN_CST_RELM_INF	ODS.FN_BANCS_CUSM_F	P	1
CID.FN_CST_RELM_INF	ODS.FN_BANCS_CUSVAA_F	P	1
CID.FN_CST_RELM_INF	ODS.FN_BANCS_RELM_F	P	1
CID.FN_EXGRATE_BRIEF_LIST	ODS.FN_BANCS_CURM_F	P	1
CID.FN_LDM_FCT_CUS_ID_TB	L_CIDS_G0001	P	1
CID.FN_LDM_FCT_CUS_PI_TB	L_CIDS_G0001	P	1
CID.FN_PD_BRIEF_LIST	ODS.FN_BANCS_BASM_F	P	1
CID.FN_PD_BRIEF_LIST	ODS.FN_BANCS_BORP_F	P	1
CID.FN_PD_BRIEF_LIST	ODS.FN_BANCS_CTAP_F	P	1
CID.FN_PD_BRIEF_LIST	ODS.FN_BANCS_DEPP_F	P	1
CID.FN_PD_BRIEF_LIST	ODS.FN_XPADC_CORP_FINANCIAL_ISSUE_F	P	1
CID.FN_PD_BRIEF_LIST	ODS.FN_XPADC_CORP_ISSUE_F	P	1
CID.FN_PD_BRIEF_LIST	ODS.FN_XPAD_FINANCIAL_ISSUESERIAL_F	P	1
CIDH.FN_DEP_HIST_INF_BANCS	CID.FN_CST_BSC_INF	P	1
CIDH.FN_DEP_HIST_INF_BANCS	CID.FN_EXGRATE_BRIEF_LIST	P	1
CIDH.FN_DEP_HIST_INF_BANCS	ODS.FN_BANCS_ACLN_F	P	1
CIDH.FN_DEP_HIST_INF_BANCS	ODS.FN_BANCS_ACSN_F	P	1
CIDH.FN_DEP_HIST_INF_BANCS	ODS.FN_BANCS_BASM_F	P	1
CIDH.FN_DEP_HIST_INF_BANCS	ODS.FN_BANCS_DEPP_F	P	1
CIDH.FN_DEP_HIST_INF_BANCS	ODSH.FN_BANCS_INVME_H	P	1
CIDH.FN_DEP_HIST_INF_OTH	CID.FN_CST_BSC_INF	P	1
CIDH.FN_DEP_HIST_INF_OTH	CID.FN_EXGRATE_BRIEF_LIST	P	1
CIDH.FN_DEP_HIST_INF_OTH	CIDH.FN_DEP_HIST_INF_BANCS	P	1
CIDH.FN_DEP_HIST_INF_OTH	ODS.FN_XPADC_CORP_FINANCIAL_ISSUE_F	P	1
CIDH.FN_DEP_HIST_INF_OTH	ODS.FN_XPADC_CORP_ISSUE_F	P	1
CIDH.FN_DEP_HIST_INF_OTH	ODS.FN_XPADC_CORP_RICH_CUSTACCOUNT_F	P	1
CIDH.FN_DEP_HIST_INF_OTH	ODS.FN_XPADC_CORP_RICH_CUSTOMERINFO_F	P	1
CIDH.FN_DEP_HIST_INF_OTH	ODS.FN_XPAD_FINANCIAL_FUNDPRICE_F	P	1
CIDH.FN_DEP_HIST_INF_OTH	ODSH.FN_XPADC_CORP_DEALLOG_H	P	1
CIDH.FN_DEP_HIST_INF_OTH	ODSH.FN_XPADC_CORP_RICH_CUSTPRODUCTBAL_H	P	1
CIDH.FN_DEP_OTHR_HIST_INF	ODSH.FN_BANCS_INVME_H	P	1
CIDH.FN_LDM_ACNO_H	L_CIDS_G0001	P	1
C_AMLMAS_G_D_001	BASE_AC	P	1
C_ATMM_G_D_001	BASE_AC	P	1
C_ATMM_G_D_002	BASE_AC	P	1
C_ATMM_G_D_003	BASE_AC	P	1
C_BANCS_G_D_001	BASE_AC	P	1
C_BANCS_G_D_002	BASE_AC	P	1
C_BANCS_G_D_15	BASE_AC	P	1
C_BCIPS_G_D_001	BASE_AC	P	1
C_BCNCS_G_D_001	BASE_AC	P	1
C_BOCNET_G0001	BASE_AC	P	1
C_BOCNET_G0002	BASE_AC	P	1
C_BOCNET_G_D_001	BASE_AC	P	1
